Date,Model,Actual,Forecast
2025-08-06,LSTM,,511.67223974820723
2025-08-07,LSTM,,498.43333461536355
2025-08-08,LSTM,,486.7339433263324
2025-08-11,LSTM,,476.3379389954353
2025-08-12,LSTM,,466.8170019075806
2025-08-13,LSTM,,457.94993857486867
2025-08-14,LSTM,,449.66701002967244
2025-08-15,LSTM,,441.9667527990096
2025-08-18,LSTM,,434.86275627485884
2025-08-19,LSTM,,428.3593511425761
2025-08-20,LSTM,,422.4458152225561
2025-08-21,LSTM,,417.09831481194396
2025-08-22,LSTM,,412.2840263024218
2025-08-25,LSTM,,407.9646007284937
2025-08-26,LSTM,,404.099030979859
